ID,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous
A001,44,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,thu,210,1,999,0
A002,53,technician,married,unknown,no,no,no,cellular,nov,fri,138,1,999,0
A003,28,management,single,university.degree,no,yes,no,cellular,jun,thu,339,3,6,2
A004,39,services,married,high.school,no,no,no,cellular,apr,fri,185,2,999,0
A005,55,retired,married,basic.4y,no,yes,no,cellular,aug,fri,137,1,3,1
A006,30,management,divorced,basic.4y,no,yes,no,cellular,jul,tue,68,8,999,0
A007,37,blue-collar,married,basic.4y,no,yes,no,cellular,may,thu,204,1,999,0
A008,39,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,fri,191,1,999,0
A009,36,admin.,married,university.degree,no,no,no,cellular,jun,mon,174,1,3,1
A010,27,blue-collar,single,basic.4y,no,yes,no,cellular,apr,thu,191,2,999,1
A011,34,housemaid,single,university.degree,no,no,no,telephone,may,fri,62,2,999,0
A012,41,management,married,university.degree,no,yes,no,cellular,aug,thu,789,1,999,0
A013,55,management,married,university.degree,no,no,no,cellular,aug,mon,372,3,999,0
A014,33,services,divorced,high.school,no,yes,no,cellular,may,tue,75,5,999,0
A015,26,admin.,married,high.school,no,no,yes,telephone,jun,mon,1021,1,999,0
A016,52,services,married,high.school,unknown,yes,no,cellular,jul,thu,117,2,999,0
A017,35,services,married,high.school,no,no,no,cellular,apr,thu,1034,2,999,0
A018,27,admin.,single,university.degree,no,no,no,telephone,oct,tue,540,1,999,0
A019,28,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,140,1,999,0
A020,26,unemployed,single,basic.9y,no,yes,yes,cellular,jul,mon,104,4,999,0
A021,41,unemployed,married,basic.9y,unknown,yes,no,telephone,apr,fri,246,1,999,1
A022,35,blue-collar,single,unknown,no,no,yes,telephone,jun,fri,1114,1,999,0
A023,40,admin.,married,university.degree,unknown,yes,no,telephone,jul,wed,340,1,999,0
A024,32,technician,single,professional.course,no,no,no,cellular,jul,thu,35,1,999,0
A025,41,blue-collar,married,high.school,no,yes,yes,cellular,jul,thu,241,3,999,0
A026,34,entrepreneur,single,university.degree,no,yes,no,cellular,may,tue,168,2,999,0
A027,49,technician,divorced,unknown,no,yes,yes,cellular,oct,thu,81,1,999,0
A028,37,admin.,married,high.school,no,yes,no,cellular,apr,thu,226,1,2,1
A029,35,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,fri,746,2,999,0
A030,38,blue-collar,single,basic.4y,unknown,no,no,telephone,jul,tue,41,5,999,0
A031,47,services,divorced,high.school,no,no,no,telephone,jun,tue,115,1,999,0
A032,46,admin.,married,university.degree,no,no,no,cellular,may,thu,227,2,999,0
A033,27,technician,married,professional.course,no,yes,no,cellular,may,mon,275,1,999,0
A034,29,technician,married,high.school,no,yes,no,cellular,jun,fri,365,3,999,0
A035,32,services,divorced,basic.9y,unknown,no,no,cellular,jul,wed,68,2,999,0
A036,36,blue-collar,married,basic.6y,unknown,no,no,cellular,may,wed,54,1,999,2
A037,29,blue-collar,married,basic.4y,no,yes,yes,cellular,jul,mon,93,1,999,0
A038,47,technician,married,high.school,unknown,no,no,cellular,apr,mon,267,2,999,1
A039,44,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,17,25,999,0
A040,54,management,married,university.degree,no,yes,yes,cellular,aug,thu,121,11,999,0
A041,36,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,294,2,999,0
A042,42,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,24,1,999,0
A043,44,blue-collar,married,basic.4y,no,no,no,cellular,jul,tue,345,5,999,0
A044,72,retired,divorced,basic.6y,no,yes,no,cellular,nov,wed,244,2,999,0
A045,48,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,tue,213,3,999,0
A046,36,management,married,high.school,unknown,yes,no,cellular,nov,thu,371,1,999,0
A047,35,housemaid,married,basic.4y,no,yes,no,cellular,aug,mon,87,1,999,0
A048,43,entrepreneur,married,basic.6y,no,yes,no,cellular,may,mon,195,3,999,1
A049,56,retired,married,basic.4y,unknown,yes,no,cellular,aug,wed,102,1,999,0
A050,42,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,fri,93,2,999,0
A051,31,admin.,single,university.degree,no,yes,no,cellular,may,mon,244,1,999,0
A052,32,technician,married,basic.9y,unknown,no,no,telephone,jun,thu,52,5,999,0
A053,33,blue-collar,married,high.school,unknown,yes,yes,cellular,may,mon,164,2,999,1
A054,31,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,wed,91,4,999,0
A055,39,management,married,university.degree,no,yes,no,telephone,may,wed,68,1,999,0
A056,30,blue-collar,married,high.school,no,no,no,telephone,may,mon,122,4,999,0
A057,24,management,single,university.degree,no,yes,no,cellular,may,thu,45,4,999,1
A058,24,admin.,married,high.school,no,no,yes,telephone,may,mon,61,1,999,0
A059,38,blue-collar,married,professional.course,no,yes,no,telephone,may,wed,162,4,999,0
A060,26,blue-collar,married,high.school,no,yes,no,telephone,jun,wed,126,12,999,0
A061,41,technician,married,professional.course,no,no,no,telephone,may,tue,92,1,999,0
A062,34,admin.,married,high.school,no,yes,yes,cellular,apr,fri,329,1,999,0
A063,30,management,married,university.degree,no,no,no,cellular,mar,mon,116,1,999,0
A064,37,admin.,married,university.degree,no,yes,no,cellular,nov,fri,450,1,999,0
A065,68,retired,married,basic.4y,no,yes,no,cellular,jul,wed,665,1,999,0
A066,31,admin.,single,high.school,no,no,no,cellular,jul,fri,168,2,999,0
A067,48,technician,divorced,university.degree,no,yes,no,cellular,apr,thu,132,1,999,0
A068,33,technician,married,professional.course,no,yes,no,telephone,may,mon,349,4,999,0
A069,59,self-employed,single,university.degree,no,yes,no,telephone,may,fri,249,3,999,0
A070,44,blue-collar,married,unknown,unknown,yes,no,telephone,may,tue,336,3,999,0
A071,28,unknown,single,unknown,unknown,yes,no,telephone,jun,thu,169,1,999,0
A072,50,management,married,university.degree,no,no,no,cellular,aug,tue,89,3,4,1
A073,33,entrepreneur,married,university.degree,no,no,no,cellular,nov,thu,55,1,999,0
